,comments
1400, username  bó bẳn
1401, username  Thì xin tị nạn chứ sống sao được với cái lũ bò đoả này.
1402, username 
1403, username  bay màu luôn chứ làm j còn thở mà trình bày
1404, username  thì 1 năm nữa ăn liên hoan to. Đắp chăn xanh.
1405, username  ở xứ anh Ủn thì méo có cơ hội đăng đàn giải thích luôn.
1406," username  đến tận nhà bốc đi luôn nhỉ,"
1407," username  có nha, giải thích với cây aka của mấy ông lính á =))"
1408, username  ở a ủn thì bắn chư k có giải thích
1409, username  ở xứ a ủn làm dêll gì đc đi du lịch
1410, username  tầm này thì đại bác chứ ak gì nữa
1411, username  chuẩn luôn. Làm dell gì có cơ hội ra nc ngoài mà check in
1412," username  ko có cơ hội nói .bùm luôn, tội phản quốc,"
1413, username  xứ của a Ủn thì làm gì có MXH mà đăng. Nên cũng k sao lắm đâu
1414," username  nghe sĩ Triều Tiên được tu do bay qua Mỹ biểu diễn hả , mong cð bạn suôn sẻ nhỉ"
1415, username  là người thành tổ ong lun
1416," username  căn nhà này ở nhờ à. Phải truy chủ nhà, chắc phản động r"
1417, username  truy thì lz đc đâu. Vc nhà này đang ở nhờ nhà 3/// mà.
1418," username  căn nhà nào cũng có chủ, phải mời lên uống trà chứ"
1419, username  bác k hiểu ý e à. Nhà này nó bên mỹ. Chứ nó có ở vn đâu mà mời được
1420, username  thế là 1 ổ cali à
1421, username  chuẩn luôn
1422," username  đi hát cho ""tổ chức từ thiện"" của 3/// bên Mỹ thì mới ở nhà của gia đình 3/// thì mới có cờ đó chứ. Gia đình bt họ ở Mỹ thì họ chỉ cắm cờ mỹ thôi"
1423," username  nhà ng ta ở bên mỹ, thách cả nước vn đố thằng nào dám sang truy đấy"
1424, username  cả nước VN trừ nòi ba sọc đéo ai thèm quan tâm mấy búi trĩ Cali cả
1425," username  ừ, ko quan tâm mà hơi lọt vào máy quay 1 tý mà cả nước sợ hãi, sợ cái rẻ lau đấy đến thế cơ à"
1426, username  sợ?chỉ là người VN căm ghét cái chế độ ngụy rước voi về giày mả tổ người ta nói thôi chứ lúc cả bó cả con thêm mấy đứa ae ghẻ cùng châu vào đánh còn phải đu càng tụt quần thì có cái mợ gì mà sợ?mày cứ bị làm sao ấy
1427," username  thế sao bảo ko quan tâm m có thấy mâu thuẫn ko, ko quan tâm mà mỗi việc cái lá cờ nó lọt ống kính thôi dân cả nước đã khóc lên khóc xuống"
1428," username  nhưng m có hiểu vẫn đề là cả 2 vk ck nó quốc tịch ở đâu ko và nó đang sinh sống làm việc ở đâu ko xuất phát từ đảng viên mà thế này chả ăn chửi, 2 vk ck nó mà là quốc tịch Mỷ thì đéo ai quan tâm"
1429, username  cái người ta nói là nói vợ chồng con sen cạn kia thôi chứ họ hàng nhà mày ở Cali ai nhắc đến làm gì?!nuôi con chó cho ăn cho uống xong quay lại cắn vào đít thì lại để im?cùng nòi tôm sông sứa biển chắc luôn
1430, username  đù má mấy cái thằng què khóa bảo vệ trang ko có tiếng nói nhé.
1431," username  nhà đó bên mẽo á , qua truy hộ"
1432, username  đúng vậy
1433, username  thêm 1 sọc nữa may ra ổn
1434, username  cùng suy nghĩ. Này gặp a ủn là đám này banh xác.
1435, username  chắc chếch k kịp ngáp :((
1436, username  chắc trốn cho nhanh không thì điệp viên nó thủ tiêu rồi. Tội bán nước. Phản bội tổ quốc là nặng nhất rồi còn j
1437, username  thì ăn kẹo đồng chứ sao bạn
1438, username  thì thành tổ ong ngay và luôn
1439, username  thì hồn phi phách tán khỏi phải thờ luôn
1440, username  gặp anh Ủn thì không có sau đó hay thế nào. Tru di cửu tộc
1441, username  tung của thui thì thế nào nữa
1442, username  gặp a ủn thì mỗi đứa 1 viên
1443, username  chu di cử tộc
1444, username  phong sát
1445,Kiên Duy Nguyễn VN mà phản quốc thì cũng tử hình Không nước nào chứa chấp kiểu ăn cây táo rào cây sung vậy cả
1446, username  m tử hình hộ 2 đứa trên bài cái :))
1447, username  làm nhẹ cái tước quốc tịch là xong ngay ấy mà
1448, username  vs cấm nhập cảnh nữa thì hết bài
1449, username  thế thì riêng 2vc nhà này 49-50ngày cũng không về nổi =)))
1450, username  ang Ủn lại thử tên lửa có điểm rơi là nhà bả
1451, username  bạn muốn một cs như dân triều tiên ah
1452, username  chắc giống a tầu thời phong kiến luôn b. Chu di 9 tộc..
1453,Nghiệp này nghiệp chướng rồi...
1454," username  cần gì,gặp Trung Quốc nó cũng bắn,tội có tính chất phản quốc là k thể tha"
1455, username  bắn bỏ mẹ nó lâu rồi
1456, username  ở mỹ là bị cảnh sát da trắng đè cổ bằng gối chết lâu r nhé. Ở pháp 3 tháng đầu năm 2024 tự hảo ít dân chết nhất trong 30 năm qua do cảnh sát làm :)) vị chi là 3 người. Ở tư bản mày chưa phản động chống đối bị bắn r nhé
1457,Thì mất tích
1458, username  ở quê a Ủn thì những người thuộc tầng lớp Nghiệp Mai làm gì có cơ hội sang mỹ tự do thế này bạn ơi
1459, username  Nhét thùng xốp ngay và luôn.
1460,Lấy đc quốc tịch mỹ luôn rồi nha chúc mừng nha. Đi đi chứ ở Việt Nam kiếm tiền lẻ chán lắm qua Mỹ mình nài đô na ha.
1461, username  tiêu diệt
1462, username  pkăng chíu
1463, username  thì ủn cho lên đoạn đầu đài còn sao nữa. Luật họ rắn hơn mình nhiều. M ko nhầm triều tiên còn ko cho mặc quần bò thì phải ấy
1464, username  triều tiên độc tài mà nói lf gì.
1465, username  thì nếu về nước thì sẽ bị bỏ tù hoặc xử bắng
1466, username  ở triều tiên như này chu di tam tộc luôn rồi còn ngồi đó biện minh đc à
1467, username  vn mà biến thành bắc Triều Tiên thì chắc thành thiên đường !
1468, username  mình nhớ thời xưa Cửu tộc chứ nhờ
1469, username  thế là đủ no đòn rồi
1470, username  nghiêm sãn sàng
1471, username  xin toạ độ chứ còn gì nữa:))
1472, username  thì bắn bỏ cả họ luôn
1473," username  tháng về 2 lần, tháng 7 về nguyên tháng \"
1474, username  hình như ủn k cho phép công dân của họ đi du lịch nước ngoài
1475, username  cho đang xuất cả dòng tộc luôn khỏi phân trần
1476, username  nhanh nguy hiểm như covit chẳng có cơ hội lần tỏa chẳng vụ nay
1477," username  nếu người triều sao đi được mỹ , tôi lại hỏi bạn , bạn bao giờ được đi mỹ đế"
1478, username  chú di tam tộc 3 đời nhà nó.
1479, username  diệt tộc:)))
1480, username  họ đưa đi ko cho giải thích lun
1481, username  người Triều Tiên làm éo gì có cơ hội ra khỏi chuồng của thằng Ủn!
1482, username  thì ăn kẹo đồng
1483, username  bắn trước khi dc giải thích
1484, username  dưới chế độ độc tài thì vậy thôi. Giờ dân mỹ nó treo cờ Triều Tiên thì chẳng sao.
1485, username  nó cho cả họ ngòm chứ không phải chỉ có 2 vc đâu nhá
1486, username  thì thà giết lầm hơn bỏ sót không nói nhiều khỏi điều tra rồm rà tháng về đc 2 lần
1487, username  ví dụ ông mà là người hamas sẽ như thế nào nhỉ? Có bị Israel nã pháo cho bay trong vòng nốt nhạc không
1488, username  Triều Tiên bắn luôn
1489, username  thì đi bằng chảo chứ còn gì nữa.có thế mà cũng ko biết
1490, username  liên hoàn súng máy
1491, username  thế thì chắc trói vào tên lửa cho lên giời luôn
1492, username  Bùm.… xin hết
1493, username  cả họ lên dĩa
1494, username  bắn trong ngày
1495," username  thì Ủn cho ăn cám luôn, lưu đài biệt xứ."
1496, username  cử ngay sát thủ khử
1497," username  1 vợ 2 con thì lo cs của mình đi phát bỉu ngu vl, thế mày thik vn giống triều tiên lắm ak, đến lúc như triều tiên lại đòi 2 chữ quyền lợi, đòi tự do gào khóc như mới đẻ, vn đang ra sức phát triển và mở rộng đối ngoại, mỹ là 1 đất nước p… See more"
1498, username  thì người nhà lên mxh thanh minh hộ
1499, username  thì hôm sau Triều Tiên họ cử sát thủ tới gấp chứ sao !
1500, username  k nói nhiều chỉ 1 nút bấm thôi
1501, username  thằng heo nó bắn đại bác
1502, username  ví như qua Tàu mà để cờ quốc dân đảng nó cũng bế đi cả lò chứ nói gì triều tiên
1503, username  thằng này ở triều tiên chắc cũng thế?
1504,"Cần lên án mạnh, ko gì là vô tình cả mà là cố ý luôn"
1505," username  chuẩn, cái lá cờ sờ sờ ra đó mà nói không để ý."
1506," username  Đứa cận còn thấy huống chi đứa không cận. Đây rõ ràng cố tình, mà cái nhà tình nguyện cho ở nhờ cx có vấn đề"
1507, username  tiktok có mấy clip tụi nghệ sĩ khác kìa....đa phần trong giới đấy..giờ biến chất 1 bầy rồi
1508," username  ý nó là vô tình lọt vào camera. Còn nếu ko, chúng ta sẽ không biết có lũ 3/ vẫn âm thầm ."
1509, username  tat ca do chinh quyen viet cong qua la xem trong la co quoc gia ma thoi...chu xu tu do chang ai them quan tam chuyen nho nhat vat vanh cua cap vo chong nay lam gi !!
1510, username  âm thầm nhét khoai của chúng vào cuống họng mẹ mi
1511, username  hộ cái
1512, username  cc
1513,"Vô tình mới lộ cái bé tý, còn ở ngoài chắc toàn cái to tát hơn"
1514, username  đấy là k kiểm soát hết những gì lọt vào cam. Còn kiểm soát thì chắc là chưa lộ nguyên hình sớm thế đc
1515, username  a im mẹ mồm đi. Quan tâm gì lũ khát nước như này. Chúng nó k mua hàng vn đâu
1516," username  rảnh đói, đi hóng drama :))"
1517, username  mấy thằng ngu này sẽ mất sự nghiệp sớm thôi. Hôm bữa có thằng hưng thợ hát nữa.
1518," username  to bằng chủ tịch nước không? Ông Trương Tấn Sang rất yêu cờ vàng của dân tộc nhé, ghét cờ đỏ ngoại lai của loài cộng sản bán nước."
1519,Clm trên thì quốc việt dưới thì quốc nghiệp. Chốt lại là quốc lủi đúng k ?
1520, username  dừng lại vài giây đi broo
1521, username  rõ là dàn dựng mà. Quả này cho quả quốc lủi này nhẳm thôi chứ đúng rồi cãi j nữa
1522, username  phản quốc chứ
1523, username  ấy bro nói căng thế.
1524, username  Quốc hận bạn nhé
1525,Cali mãi là cali
1526, username  t nói thật thì miền nam bây h cx đầy đứa 3 que chứ còn vụ này thì do dòng họ nó chứ nó thế hệ sau mà?
1527, username  sao cứ sang mẽo là phải theo 3/ nhỉ k hiểu
1528," username  bên đấy bake đầy , con ông cháu cha bên đó đang chờ thẻ xanh , nói chi ai k muốn qua đó kkkk , tại cái miệng hay chê này chê kia , chứ ham muốn thấy mẹ"
1529, username  tội đứa con có thằng cha 3 que
1530," username  có tờ giấy chút xíu mà cũng sợ , nói làm gì nữa"
1531," username  Bởi vì không theo 3/ thì khó sống với bọn nó , tư tưởng ngoại bang nên qua mẽo là đâm quê hương cắn đồng bào"
1532, username  chả biết ai sợ ai mà đi đâu bọn 3/// cũng ko dám đăng nổi cái hình bản thân lên trang cá nhân
1533," username  đụ má lại nói 3/ , đọc kỹ cái comment đi thằng e ạ"
1534, username  thế nói ai sợ cái tờ giấy
1535," username  thì có cái tờ giấy in hình đó thôi , làm ầm lên ,ở nhờ nhà ngta thì đồ của ngta , có gì phải căng , tao k bênh vực phía nào hết"
1536, username  sợ hả ai sợ thế. Chỉ là chúng nó là người của công chúng mà lại để hình ảnh ảnh hưởng đến an ninh quốc gia sẽ làm hỏng thế hệ sau. Vậy nên nhà nước và những người yêu nước họ sẽ loại bỏ khỏi XH thôi
1537," username  sai rồi , loại khỏi xã hội là chết , k lẽ vì 1 cái hình bị chết ahihi"
1538, username  3 sọc thì mãi là ba que
1539, username 
1540, username  nó là 1 thành phần của phân bón thôi mà :))
1541,Người ta lỡ chơi chung vs chó thì bỏ qua ! Chứ nó làm bạn luôn với chó thì tẩy chay chứ để đẻ trứng làm gì
1542," username  thế h tôi bảo b ăn cức b có ăn không ? Chả nhẽ giờ nó lại nhận là nhà của nó à ? Người bthg nhìn thấy lá cờ /// là đã k chấp nhận được rồi, mõm bảo yêu nước nếu thấy nhà tình nguyện viên như thế thì đã k ở rồi đây còn thân mật các thứ :))"
1543," username  đơn giản thôi. Chơi với 3 que thì cứ sang Mỹ mà hát để kiếm tiền từ 3 que, về VN thì ae tẩy chay các show cùa ba này la dc :))"
1544," username  vợ chồng nó là nghệ sĩ xuất thân Việt Nam, nó vẫn cãi là nó không nhìn thấy cờ /// thì cũng ạ vợ chồng nó luôn..."
1545, username  lần đầu tiên tôi biết con này là ca sĩ trước chỉ nghe qua đôi 3 lần quốc cơ quốc nghiệp biểu diễn xiếc
1546,"mắc giống ôn gì k chấp nhận dc, mày chắc đại diện dc cho toàn cõi VN mà lên tiếng k chấp nhận dc, hãm L"
1547," username  tại ở Việt Nam thấy cái đó người ta lấy làm giẻ lau sàn chứ không ai treo như bên kia, mà t biết tụi m cũng muốn làm giẻ lau lắm nhưng ngặt nỗi là không có nước lau sàn không sạch nên chắc vẫn treo lên như vậy :))"
1548," username  à, mới xem sơ sơ thấy ng bạc liêu, nào viết thư đi tị nạn đi chứ, campuchia nó xây xong đập thì chả còn miền tây nước ngọt đâu, ở đó mà lo treo cờ nào, cờ của mấy con bò đỏ thì cứ để đó mà ngắm đi, tao cũng chả quan tâm cờ gì, chỉ là c… See more"
1549," username  đang mưa xuống không biết làm sau để hết ngập nước, à quên m làm gì có nước để mà lo :)) “tao cũng chả quan tâm cờ gì” đu càng chạy như chó nhà có tang vậy thì làm gì còn tinh thần để quan tâm cờ gì, còn đập điếc gì thì ko cần tụi 3/ bọn m l… See more"
1550," username  ừa, thì nhất mấy con bò đỏ yêu nước, ai nói gì đâu. Cứ hô hào vang dội vào, ăn lương dư luận viên cũng êm, bạc liêu ha"
1551," username  ae để ý ctrinh nào có con này tiến hành tẩy chạy ngay, CTY hay nhãn hàng nào cố tình diễn cũng cho nó 1 sao luôn. Có lẽ chúng ta còn quá dễ dãi với lũ que con này"
1552, username  chuyện nước VN để ng VN lo bọn mày ko đủ tư cách nói đến đâu
1553," username  ồ đù, flex nhẹ quy trình bầu cử ở VN cho người ở VN đang k bik nghe chơi. hỏi nhẹ từ nhỏ đến lớn tự đi bầu dc bao nhiu lần ời... kkk"
1554," username  việc gì tao giải thích với kẻ ko phải ng VN, còn mày muốn biết lên gg mà tìm. Ok"
1555, username  nó biết nhưng nó kệ
1556, username  eo ôi tưởng sao học gì ko học lại đi học tư tưởng phát xít của thằng de len sy ky à! Thế t hỏi mày nhá thế sao nga nó đặt vkhn ở cuba thì bố mỹ của mày lại dãy đành đạch thế gái
1557, username  có mình mày chấp nhận được thôi
1558, username  t cx đang muốn flex cho m cái quy trình bầu cử của vnch đây
1559, username  tao chê nha
1560," username  tôi chắc chắn là k ăn rồi, nhưng bạn thì chưa bảo chắc đã ăn :))"
1561, username  tao ăn lol m///ẹ mày thôi chứ cái kia là mày ăn
1562, username  cay :))
1563, username  chó này hay sủa ng lạ quá nhé
1564, username  riêng cái tên của bạn là tôi không muốn nghe bạn nói rồi
1565, username  chuyện nước t để bọn t lo mày có nước đéo đâu mà loi choi vậy ngu ngục
1566," username  giẻ lau nào ông, nó cấm thấm nước đâu mà lau"
1567, username  thì bác kia bảo giẻ lau mà thiếu nước lau sàn nên không sạch được đó bác
1568," username  về Việt nam nó vẫn còn cả đống fan thì tẩy kiểu gì? Hội 3/// trong nước cũng đông lắm, nhìn thằng đờm là hiểu kìa"
1569, username  ờ vì Việt nam vẫn còn một lũ 3/// nữa vẫn ôm mọng phụt quốc ai chả biết
1570,"Hòa Dương làm gì đông hơn 100 triệu dân vn dc :)) Hiền Hồ, thủy tiên, hoài linh fan cũng nhiều, dổi cũng bị tẩy chay cho chìm luôn đó thôi. Giờ fan VN khác xưa r"
1571,"Mạnh mẽ lên chị gái, chuyện gì rồi cũng sẽ qua thôi, 49 qua đi 53 tới. 54 chúa đi bộ vào nam và 5 nay cả nhà c lộ 1 ổ cali."
1572, username  cop của ông ở trên à?
1573, username  mẹ bọn đạo văn
1574, username 
1575, username  đừng nói thế mà xúc phạm con chó b ơi. Chó ở Mỹ còn được đúc tượng chứ lũ cali bằng sao được chó
1576, username 
1577, username 
1578, username  ông ơi cho tôi xin video với ạ. Có bằng chứng rành rành như này thì cứ đợi vụ này mà lắng xuống tôi sẽ vào spam
1579, username  check ib nè
1580, username  chung vs chó mà k làm bạn vs chó mới lạ.
1581, username  cùng loài cùng giống với nhau ngửi cái biết ngay.. khứu giác tốt thật..(KHÔN) lắm đây
1582," username  ngoan nào ko đc cay,loài chó /// nhà bạn nhìn là biết mà,giống như loại chó mỹ nuôi ở Việt Nam lúc xưa thôi,ở VN cứt ko đủ ăn nên qua mỹ đớp cứt mỹ vs đồng loại mà ko có nước uống chắc cay lắm"
1583, username  ê bắt dk con dog 3///
1584, username  3 que xỏ lá. Giọng điệu cay cú
1585, username  chó đâu có đẻ trứng hihi
1586,Giấc mơ Mỹ thành hiện thực rồi đó
1587, username  câu này thì k cãi bay được nè
1588, username  nó đăng đúng ngày 19/05 luôn. Với lại con vợ nó cũng like dạo mấy thành phần chống phá nhà nước. Ko thể nào trùng hợp như vậy đc.
1589,Quốc Việt nào thế báo
1590," username  báo này ẩu rồi, đính chính dùm đê"
1591, username  viết lấy thành tích hay sao ấy bác
1592, username  viết né tên đó bạn ơi.
1593, username  dạ cảm ơn bác nhé!
1594, username  viết quốc nghiệp n cho bay bài luôn đó. Mấy báo viết về scandal này bay màu hết bài viết r
1595, username  vậy ạ. Cảm ơn bác nhé!
1596, username  sợ.
1597, username  Quốc Việt là tên Mỹ của Quốc Nghiệp.
1598, username  đáng lẽ tên Việt phải là Quốc Kỳ bác nhỉ
1599," username  sao bác chụp ảnh em, ngại thế."
1600, username  xin lỗi bác nhé
1601, username  bọn báo lá cải này báo gì chứ. Viết còn sai bày đặt đi chê bai người khác
1602, username 
1603, username  phải nói là đứa nào đó nó quân sư cho nó pha chữa cháy được đấy. Không có chế tài mạnh mẽ hơn rồi sẽ có nhiều vụ khác tương tự sảy ra. Chúng nó sẽ lấy chính cái lòng yêu nước và niềm tự tôn dân tộc của chính người Việt Nam để làm công cụ c… See more
1604, username  vâng bác. Cứ yêu nước mộc mạc thôi ạ
1605," username  thực ra cũng phải tầm 4 năm nay người ta đã kêu gọi phải phong sát đám "" xướng ca vô loài"" này rồi. Bởi vì chúng quá ảo tưởng"
1606, username  các cơ quan chức năng chắc chắn người ta đều có nghiên cứu và đánh giá. Đủ chín là sẽ hái thôi.
1607, username  rút kinh nghiệm. Sau quay cẩn thận hơn à. Mà làm gì có lần sau
1608, username  chấm hết phải không bác
1609, username  Là cái người viết mấy cái dòng đó để nhờ FB Quốc Nghiệp lấy đăng.
1610, username 
1611, username  là nó nè đệ tử ruột của chân quang nữa mà. Có thầy bảo vệ thì nó sợ gì
1612, username  chết dở
1613," username  đừng chạm đến đệ tử nó. Ko là nó phán câu nhân quả ""chạm vào đệ tử nó"" nghe lại tức cười đó. Chứ thấy nó phán mấy loại nhân quả như karaoke bị quả câm là hết thuốc chữa nó rồi"
1614, username  bất lực luôn bác nhỉ
1615, username  ??? len quan
1616," username  Sư phụ nó độ nó rồi. Lên quan ở nhà Sư phụ nó tụng cho nó siêu thăng là nó hết tai qua nạn ""đến"" à"
1617,Test máy phát hiện nói dối xem
1618, username  cháy mẹ máy
1619, username  máy nó không cháy đâu. Quan trọng nó có điều khiển cảm súc với trí óc đượcnk
1620, username  máy bốc hỏa luôn
1621, username  diễn viên nghệ sĩ nó diễn hơn thật test sao ra
1622, username  trừ khi nó tự thôi miên mình trước. Tiêm cho liều khai hết
1623, username  tiêm cho liều ngừng tim
1624, username  khó thê cũng ngĩ ra
1625, username  Test máy phát hiện nói dối xem ; con ' ho cho meo ' doat giai VO DIT ......... kkk
1626, username  mà đây là nhà của người quen mà. Đâu phải nhà của hai vợ chồng Đâu.
1627, username  cái lá cờ sờ sờ ra đó mà nó nói không thấy
1628, username  Máy kêu:Vợ chồng nó là trùm nói dối
1629,Con người phải có ý thức thấy c*t thì phải dọn :)))
1630, username  ờ! Để Bác làm gương cho mấy cháu nhé!
1631, username  top =))))
1632,Cụ Tổng đã xem
1633, username  cụ méo rảnh để xem
1634, username  uh.thì bọn cán bộ vn vẫn ùn ùn kéo qua đây muốn ăn bám đó thôi..lạ gì.mày đúng ếch ngồi đáy giếng.chưa có thẻ xanh phải ko.mày mơ đi.yêu nước đi..
1635, username  bố cái thằng não tôm này. Bị ngu à
1636, username  xem chùi cũng bằng không thôi.cụ chuẩn bị qua đó ở luôn.các cháu đã bị lừa kkk
1637, username  nói mà t cười phọt cali
1638, username  cụ sắp đi rồi.cười cái đ..e..ó gì mày
1639, username  cụ đi thì cụ cũng ở việt nam nhé
1640, username  cụ đi trị bệnh
1641," username  việt nam tao k thiếu bs giỏi, phản động cút cmm đi"
1642, username  vn gỏi lắm...giỏi ăn....
1643, username  đéo đi ăn bám Cali như cmm chúng mày
1644, username  khát nước k nhóc . Đái cho ngậm này
1645, username  thằng phản động có thể nào đổi cái profile đi đc ko ? Đéo phải người Quảng Trị vì QT bọn tao đéo chứa chấp 3 sọc.
1646, username  tao chơi tới hàng vps rồi.mày còn ngu lắm.nói phản động thì hàng chủ tịch nước tụi mày .phản cả rồi.đặc biệt.thèn nào cũng như heo
1647, username  cứ sủa đi vì tụi tao năm nào cũng ăn mừng giải phóng miền Nam thống nhất Đất nước chứ ko đứng sau lưng sủa bằng mõm như tụi mày :)) nói tiếng Việt nhưng lại chui háng bọn phản quốc. Hèn
1648, username  tiếng việt ghi còn ko đúng chính tả.thì tao lạy.cụ ông nhà mày bán nước hay gì mà dạy dổ ko đến nơi đến chốn vậy.toàn lũ ngu
1649, username  ko đúng chính tả chỗ nào mày chỉ tao xem thằng óc chó ?
1650, username  tiếng Việt làm ơn viết hoa dùm tao nhé với cả sau dấu chấm cũng viết hoa mày ơi. Để tao phổ cập kiến thức tiểu học thêm cho chứ thấy ko ổn lắm.
1651, username  bò đỏ có khác
1652, username  mày còn ở Việt Nam thì tốt nhất là ngậm mồm lại. Cứ ung dung đi.
1653, username  sủa thế nào thì tụi tao cũng vẫn sống tự hào trên đất mình chứ ai như tụi mày chỉ biết sủa bằng mõm.
1654, username  nói với bọn thiểu năng trí tuệ làm gì bạn....trong đầu bọn nó toàn cứt thôi k khai thông đk đâu
1655,Nói vậy mà màu ko hiểu.ấu trĩ thật.
1656," username  mua bia sẵn rồi , chờ khui thôi kkkk"
1657,Nói đúng cãi ko lại.cháu lại nói bừa ah.kiến thức vẫn có thế thôi.....dốt nát vẫn luôn dốt nát
1658, username 
1659,"Lúc nào cũng tự hào quá VN ơi vậy mà có miếng giấy đó mà sợ té đái, tại Hạ xin bái phục, hay là quá khứ đã làm gì có lỗi nên giờ run sợ."
1660," username  sợ con cặc, ko ưa thôi chứ sợ gì lũ 3 que xỏ lá óc chó đó, mà ko ưa rồi thì cho nó biến mẹ cho nhanh"
1661, username  sợ thì nói mẹ bày đặc nữa ::)))
1662," username  sợ gì cái lũ khát nước đó, mày coi tao sợ nó cái gì kể nghe chơi coi thằng ngu"
1663, username  đâm có cái cổng mà 49 năm rồi vẫn dỗi
1664, username  có tờ giấy mà tụi bây làm quá:)))
1665, username  làm cái lồn gì quá? Mà thôi mấy thằng ngu khát nước như mày không hiểu nổi tình yêu Tổ Quốc là gì đâu
1666, username  sợ chưa bh có trong từ điển của ng dân Việt Nam
1667, username  giấy chùi đít mà m mang lên bỏ đầu giường thế đc cũng giỏi đấy VN bọn t cứ thấy giấy chùi đít là sợ chứ ai như m lấy về nhà bỏ đầu giường đâu
1668, username  sợ ???.trông k ưa thôi chứ bọn đấy làm dc đách gì mà sợ
1669, username  giấy cái cc may biết cái l gì nói giấy
1670, username  cái đấy cả gia tộc nhà mi bọn nó nhét vào cuống họng cho nên thích chứ không sợ
1671, username  may cầm cái giấy đó đi Ra đường ở VN dùm tao cái
1672," username  cứ vác cái đó đi ngoài đường, biết ai sợ liền à"
1673, username  nói thế thì sao mà ba we táp nổi =))))))))))
1674, username  ngày xưa thôi
1675, username  sợ cái c...c nè
1676," username  chạy tụt quần có gì mà phải sợ, cái thây ma không còn hồn vía,sống tầm gửi lưu vong làm gì còn tí giá trị nào nữa"
1677, username  không sợ nhưng nhìn thấy là thè lưỡi vẫy đuôi tru tréo méo giật cắn nhá điên loạn để làm j .. khi người ta không nhét khoai của chúng vào họng mẹ mi
1678, username  nhìn chướng mắt có được ko?
1679, username  lấy kim băng mà gại
1680, username  nhưng bọn tớ đập nó 49 năm trước rồi nên giờ nhìn nó ngo ngoe ko thích.
1681, username  không thích ăn bơ thừa sữa cặn thì cứ việc úp mặt vào bãi pịa mà tộp thôi
1682, username  cái đấy bạn ăn hàng ngày ah. Bọn tôi ăn cơm mà
1683, username  vào chuồng tộp nốt bãi pịa mau rồi trông nhà cho ta
1684, username  giống Phú Quốc hay Mông cộc? Há alo ta coi
1685," username  cảnh ăn nhờ ở đợ,cơm thừa canh cặn, mà còn tinh tướng, được cái tự nhục cao"
1686," username  câu trên không làm gì nhau câu dưới đã táp như cho rồi:)) , bọn /// gặp là phải diệt không cho đẻ trứng"
1687, username  hãnh diện chưa
1688, username  khác gì giống loài nhà mi..suỵt cái là thè lưỡi vẫy đuôi cắn nhá điên loạn..luôn .Vào chuồng tộp nốt bãi pịa mau rồi trông nhà cho ta nghe chưa
1689, username  giống nhà ngươi đây này
1690, username  phụ huynh của mi đấy ư ?.. há mõm xem lưỡi nào
1691, username  đọc mà cảm thấy mừng quá. 3 que chúng m vẫn ngu như này nên đất nước t vẫn bình yên được như hôm nay. Giờ hiểu ngày xưa lũ ngu VNCH được cung cấp bao nhiêu là vũ khí mà vẫn phải cắp đít chạy. Ngu quá thì thắng làm sao nổi. Thôi cảm ơn n… See more
1692," username  con tinh trùng khuyết tật bị mất dây thần kinh này=))khát nước về đây t đái cho mà uống chứ cái loại m nhặt bơ thừa sữa cặn bên cali tinh tướng=)),theo mẽo thì nói tiếng mẽo đi nói tiếng Việt ăn cútw à,khác đ gì m tự ỉa tự ăn"
1693, username  mày làm gì có nhà ???
1694, username  cái dẻ lau mà để ở đầu giường nên nhắc nhở thôi
1695," username  mấy thằng ngu bị ủi sập cái cổng sợ chạy 49 năm chưa dám về nhà uống nước, tao ko biết ai mới sợ"
1696," username  lũ ch0 barwe chạy tụt cả quần, đé0 ai care chúng mày. Sao chúng mày cứ chống phá bọn tao? Bọn tao làm gì chúng mày à?"
1697," username  sợ, sợ lắm,sợ lại có thêm 1 ngày kỉ niệm chiến thắng, đất nước đã quá nhiều ngày lễ rồi, giờ nghỉ nữa tao lại phải nhậu"
1698, username  cầm cờ của họa sĩ người áo mà đem vẫy giữa xứ tự do xem nó như thế nào. Chắc Mỹ sợ nên nó cấm?
1699,Bạc Lương Sơn thằng sợ là thằng phải lưu vong
1700, username 
1701, username  cứt thì đéo ai sợ cả nhưng mày có thấy ai thích lại gần chụp hình đống cứt không???
1702," username  là k muốn gợi lại kí ức đau thương khi 1 bộ phận báo đời cõng rắn cắn gà nhà, rước voi về giày mả tổ khiến đất nước mất đi 21 năm dọn đống cứt. đến người thực việc thực, quân lực hạng tư đc bố mẽo hỗ trợ tần răng bọn ông còn đánh cho tụt… See more"
1703, username  đâm đổ cái cổng mà sợ đến tận bây giờ lêu lêu ///
1704," username  định nghĩa cho t từ sợ lag như nào z thấy thứ bẩn mắt thì ngta chê bai châm biếm chứ đéo ai sợ, như nhìn thấy cứt thì phải né k lại dẫm vào chứ ai sợ 1 đống cứt bao giờ"
1705, username  Giờ ví dụ ông là người vỗ ngực bảo mình can đảm vãi lồng thế ông có dám bốc cức bỏ vào mồm ko?
1706," username  thế thì cầm cái cờ của hoạ sĩ người áo bên sứ cờ hoa xem nó như nào? Xem nó có sợ k =))) Đơn cử như việc b viết tên của hoạ sĩ người áo lên fb thôi, thằng mark xoăn nó khoá mõm ngay và luôn =))) hay thằng mark nó sợ quá khứ?"
