comments,nametag
Hoàng Thanh Tuyền tiếng việt ghi còn ko đúng chính tả.thì tao lạy.cụ ông nhà mày bán nước hay gì mà dạy dổ ko đến nơi đến chốn vậy.toàn lũ ngu,Hoàng Thanh Tuyền
Le Ngọc Kha ko đúng chính tả chỗ nào mày chỉ tao xem thằng óc chó ?,Le Ngọc Kha
"Le Ngọc Kha tiếng Việt làm ơn viết hoa dùm tao nhé
với cả sau dấu chấm cũng viết hoa mày ơi. Để tao phổ cập kiến thức tiểu học thêm cho chứ thấy ko ổn lắm.",Le Ngọc Kha
Hoàng Thanh Tuyền bò đỏ có khác,Hoàng Thanh Tuyền
Le Ngọc Kha mày còn ở Việt Nam thì tốt nhất là ngậm mồm lại. Cứ ung dung đi.,Le Ngọc Kha
"Le Ngọc Kha sủa thế nào thì tụi tao cũng vẫn sống tự hào trên đất mình
chứ ai như tụi mày chỉ biết sủa bằng mõm.",Le Ngọc Kha
Hoàng Thanh Tuyền nói với bọn thiểu năng trí tuệ làm gì bạn....trong đầu bọn nó toàn cứt thôi k khai thông đk đâu,Hoàng Thanh Tuyền
Nói vậy mà màu ko hiểu.ấu trĩ thật.,
"Nguyễn Minh Hải mua bia sẵn rồi , chờ khui thôi kkkk",Nguyễn Minh Hải
Nói đúng cãi ko lại.cháu lại nói bừa ah.kiến thức vẫn có thế thôi.....dốt nát vẫn luôn dốt nát,
Nguyễn Minh Hải,Nguyễn Minh Hải
"Lúc nào cũng tự hào quá VN ơi vậy mà có miếng giấy đó mà sợ té đái, tại Hạ xin bái phục, hay là quá khứ đã làm gì có lỗi nên giờ run sợ.",
"Bạc Lương Sơn sợ con cặc, ko ưa thôi chứ sợ gì lũ 3 que xỏ lá óc chó đó, mà ko ưa rồi thì cho nó biến mẹ cho nhanh",Bạc Lương Sơn
Matthew Phạm sợ thì nói mẹ bày đặc nữa ::))),Matthew Phạm
"Bạc Lương Sơn sợ gì cái lũ khát nước đó, mày coi tao sợ nó cái gì kể nghe chơi coi thằng ngu",Bạc Lương Sơn
Bạc Lương Sơn đâm có cái cổng mà 49 năm rồi vẫn dỗi,Bạc Lương Sơn
Matthew Phạm có tờ giấy mà tụi bây làm quá:))),Matthew Phạm
Bạc Lương Sơn làm cái lồn gì quá? Mà thôi mấy thằng ngu khát nước như mày không hiểu nổi tình yêu Tổ Quốc là gì đâu,Bạc Lương Sơn
Bạc Lương Sơn sợ chưa bh có trong từ điển của ng dân Việt Nam,Bạc Lương Sơn
"Bạc Lương Sơn giấy chùi đít mà m mang lên bỏ đầu giường thế đc cũng giỏi đấy
VN bọn t cứ thấy giấy chùi đít là sợ chứ ai như m lấy về nhà bỏ đầu giường đâu",Bạc Lương Sơn
Bạc Lương Sơn sợ ???.trông k ưa thôi chứ bọn đấy làm dc đách gì mà sợ,Bạc Lương Sơn
Bạc Lương Sơn giấy cái cc may biết cái l gì nói giấy,Bạc Lương Sơn
Matthew Phạm cái đấy cả gia tộc nhà mi bọn nó nhét vào cuống họng cho nên thích chứ không sợ,Matthew Phạm
Bạc Lương Sơn may cầm cái giấy đó đi Ra đường ở VN dùm tao cái,Bạc Lương Sơn
"Bạc Lương Sơn cứ vác cái đó đi ngoài đường, biết ai sợ liền à",Bạc Lương Sơn
Lê Minh Dũng nói thế thì sao mà ba we táp nổi =)))))))))),Lê Minh Dũng
Trịnh Tuấn ngày xưa thôi,Trịnh Tuấn
Bạc Lương Sơn sợ cái c...c nè,Bạc Lương Sơn
"Bạc Lương Sơn chạy tụt quần có gì mà phải sợ, cái thây ma không còn hồn vía,sống tầm gửi lưu vong làm gì còn tí giá trị nào nữa",Bạc Lương Sơn
Lê Phú Chiên không sợ nhưng nhìn thấy là thè lưỡi vẫy đuôi tru tréo méo giật cắn nhá điên loạn để làm j .. khi người ta không nhét khoai của chúng vào họng mẹ mi,Lê Phú Chiên
Thiên Thạch Bùi nhìn chướng mắt có được ko?,Thiên Thạch Bùi
Duy Du lấy kim băng mà gại,Duy Du
Thiên Thạch Bùi nhưng bọn tớ đập nó 49 năm trước rồi nên giờ nhìn nó ngo ngoe ko thích.,Thiên Thạch Bùi
Duy Du không thích ăn bơ thừa sữa cặn thì cứ việc úp mặt vào bãi pịa mà tộp thôi,Duy Du
Thiên Thạch Bùi cái đấy bạn ăn hàng ngày ah. Bọn tôi ăn cơm mà,Thiên Thạch Bùi
Duy Du vào chuồng tộp nốt bãi pịa mau rồi trông nhà cho ta,Duy Du
Duy Du giống Phú Quốc hay Mông cộc? Há alo ta coi,Duy Du
"Thiên Thạch Bùi cảnh ăn nhờ ở đợ,cơm thừa canh cặn, mà còn tinh tướng, được cái tự nhục cao",Thiên Thạch Bùi
"Thiên Thạch Bùi câu trên không làm gì nhau câu dưới đã táp như cho rồi:)) , bọn /// gặp là phải diệt không cho đẻ trứng",Thiên Thạch Bùi
Thiên Thạch Bùi hãnh diện chưa,Thiên Thạch Bùi
Lê Phú Chiên khác gì giống loài nhà mi..suỵt cái là thè lưỡi vẫy đuôi cắn nhá điên loạn..luôn .Vào chuồng tộp nốt bãi pịa mau rồi trông nhà cho ta nghe chưa,Lê Phú Chiên
Thiên Thạch Bùi giống nhà ngươi đây này,Thiên Thạch Bùi
Lê Phú Chiên phụ huynh của mi đấy ư ?.. há mõm xem lưỡi nào,Lê Phú Chiên
Thiên Thạch Bùi đọc mà cảm thấy mừng quá. 3 que chúng m vẫn ngu như này nên đất nước t vẫn bình yên được như hôm nay. Giờ hiểu ngày xưa lũ ngu VNCH được cung cấp bao nhiêu là vũ khí mà vẫn phải cắp đít chạy. Ngu quá thì thắng làm sao nổi. Thôi cảm ơn n… See more,Thiên Thạch Bùi
"Thiên Thạch Bùi con tinh trùng khuyết tật bị mất dây thần kinh này=))khát nước về đây t đái cho mà uống chứ cái loại m nhặt bơ thừa sữa cặn bên cali tinh tướng=)),theo mẽo thì nói tiếng mẽo đi nói tiếng Việt ăn cútw à,khác đ gì m tự ỉa tự ăn",Thiên Thạch Bùi
Thiên Thạch Bùi mày làm gì có nhà ???,Thiên Thạch Bùi
Bạc Lương Sơn cái dẻ lau mà để ở đầu giường nên nhắc nhở thôi,Bạc Lương Sơn
"Bạc Lương Sơn mấy thằng ngu bị ủi sập cái cổng sợ chạy 49 năm chưa dám về nhà uống nước, tao ko biết ai mới sợ",Bạc Lương Sơn
"Bạc Lương Sơn lũ ch0 barwe chạy tụt cả quần, đé0 ai care chúng mày. Sao chúng mày cứ chống phá bọn tao? Bọn tao làm gì chúng mày à?",Bạc Lương Sơn
"Bạc Lương Sơn sợ, sợ lắm,sợ lại có thêm 1 ngày kỉ niệm chiến thắng, đất nước đã quá nhiều ngày lễ rồi, giờ nghỉ nữa tao lại phải nhậu",Bạc Lương Sơn
Bạc Lương Sơn cầm cờ của họa sĩ người áo mà đem vẫy giữa xứ tự do xem nó như thế nào. Chắc Mỹ sợ nên nó cấm?,Bạc Lương Sơn
Bạc Lương Sơn thằng sợ là thằng phải lưu vong,
Bạc Lương Sơn,Bạc Lương Sơn
Bạc Lương Sơn cứt thì đéo ai sợ cả nhưng mày có thấy ai thích lại gần chụp hình đống cứt không???,Bạc Lương Sơn
"Bạc Lương Sơn là k muốn gợi lại kí ức đau thương khi 1 bộ phận báo đời cõng rắn cắn gà nhà, rước voi về giày mả tổ khiến đất nước mất đi 21 năm dọn đống cứt.
đến người thực việc thực, quân lực hạng tư đc bố mẽo hỗ trợ tần răng bọn ông còn đánh cho tụt… See more",Bạc Lương Sơn
Bạc Lương Sơn đâm đổ cái cổng mà sợ đến tận bây giờ lêu lêu ///,Bạc Lương Sơn
"Bạc Lương Sơn định nghĩa cho t từ sợ lag như nào z
thấy thứ bẩn mắt thì ngta chê bai châm biếm chứ đéo ai sợ, như nhìn thấy cứt thì phải né k lại dẫm vào chứ ai sợ 1 đống cứt bao giờ",Bạc Lương Sơn
Bạc Lương Sơn Giờ ví dụ ông là người vỗ ngực bảo mình can đảm vãi lồng thế ông có dám bốc cức bỏ vào mồm ko?,Bạc Lương Sơn
"Bạc Lương Sơn thế thì cầm cái cờ của hoạ sĩ người áo bên sứ cờ hoa xem nó như nào? Xem nó có sợ k =)))
Đơn cử như việc b viết tên của hoạ sĩ người áo lên fb thôi, thằng mark xoăn nó khoá mõm ngay và luôn =))) hay thằng mark nó sợ quá khứ?",Bạc Lương Sơn
Bạc Lương Sơn cái văn này qua nay gặp nhiều. Ngta ghét = ngta sợ :))),Bạc Lương Sơn
"Bạc Lương Sơn đm mày ngu thật hay giả vờ ngu. Lúc nó có công thì khen thưởng, lúc nó có tội thì phải xử lý. Nó như virus ung thư, ngăn chặn sớm thì chữa lành, để nó di căn thì chỉ có đóng hòm thôi. Mã cụ nhà mày",Bạc Lương Sơn
Bạc Lương Sơn nhà đã quét sạch rác rồi giờ thỉnh thoảng có tý bay vào lại phải đi dọn ai chả bực.,Bạc Lương Sơn
"Bạc Lương Sơn bme mày đẻ ra mày chắc rát cái lol lắm nhỉ ? Não hữu dụng lắm đấy, mày đã thử sử dụng bao giờ chưa ?",Bạc Lương Sơn
"Bạc Lương Sơn 3 cái dẻ chùi loz thì sợ cái đ/éo gì a ơi
cái cụ biết các cụ buồn đấy",Bạc Lương Sơn
Bạc Lương Sơn trẻ không học hành tử tề già nó khinh đó cháu. Lo học hành tử tế đi,Bạc Lương Sơn
Bạc Lương Sơn mày bị ngu hay giả vờ ngu thế. Ko phân biệt được đâu là khinh thường đâu là sợ ah. Lớn ngần này tuổi đầu lại đi bảo sợ. Còn ngu lắm con trai ạ,Bạc Lương Sơn
"Bạc Lương Sơn. Mày ranh con hóng chi chuyện người lớn vậy, về hỏi lại 2 đứa thân sinh ra mày coi. Nhải ranh.",Bạc Lương Sơn
"Bạc Lương Sơn học thức của bác chỉ dừng ở mức biết đọc biết viết thôi à, phát ngôn nghe ko thấy có tí trình độ nào, lần sau ko biết gì thì ngậm câm lại nhé mất công người ta chửi cho",Bạc Lương Sơn
"Bạc Lương Sơn học thêm đi th nguu, đừng nghĩ ai cũng nguu giống m",Bạc Lương Sơn
"Bạc Lương Sơn mày ngu vl. Ko phải là sợ mà là ghét. Ghét lũ bán nước, đu càng mày hiểu được ko. Ko yêu cái VN ngày này thì ko hiểu đc đâu cháu ạ. Cháu quả là ngu và vô ơn.",Bạc Lương Sơn
Bạc Lương Sơn không phải họ sợ mà họ thấy kinh tởm mày hiểu không,Bạc Lương Sơn
Bạc Lương Sơn sợ là phải rồi,Bạc Lương Sơn
Bạc Lương Sơn sợ...nhưng là sợ dơ,Bạc Lương Sơn
Cửu Khuyết,Cửu Khuyết
"Bạc Lương Sơn dù có là người dũng cảm nhất thế giới này mà bảo cầm cứt xong lấy tay bóp thì ai cũng ghê, nhất lại là cứt nát. Thế lên bọn tao là người sợ cứt đái nó dây vào người chứ không như lũ ruồi nhặng vo ve lấy cứt làm thức ăn",Bạc Lương Sơn
Bạc Lương Sơn,Bạc Lương Sơn
"Bạc Lương Sơn ông nói chuyện ngu mà còn bày đặt nguy hiểm. ông đánh tráo khái niệm coi thường với sợ trắng trợn thế, chế độ cũ đã bị xóa bỏ, hiện tại những người theo tư tưởng chế độ cũ luôn chống phá, chửi bới đất nước Việt Nam. vậy những người ăn học… See more",Bạc Lương Sơn
Bạc Lương Sơn sợ vãi lồn. Mầy thấy cứt mầy có sợ không hay mầy vẫn bám vào ôm hôn. Thằng mặt lồn có tâm hồn chó dại này :)))),Bạc Lương Sơn
Cứt thì ai chả sợ dính vào,
Bạc Lương Sơn ông có sợ cứt không,Bạc Lương Sơn
"Bạc Lương Sơn sợ đã éo dám lên tiếng, nhìn ngứa mắt t chả chửi",Bạc Lương Sơn
Bạc Lương Sơn bố Mỹ mày tụi tao còn vả cái loại chó săn này ai sợ,Bạc Lương Sơn
Bạc Lương Sơn sợ bẩn đó ! Chớ ở trong nhà có miếng giấy dính cứt thì mình để yên à ? Sinh sau đẻ muộn mình ko biết thì mình im mõm nó hay hơn !,Bạc Lương Sơn
Bạc Lương Sơn nghĩ = đầu trên hay đầu dưới mà viết đc câu văn ải chỉa thế?,Bạc Lương Sơn
Bạc Lương Sơn ô lỡ húc có cái cổng từ 49 năm trước rồi mà tới giờ vẫn dỗi vẫn giãy nảy lên thế à? Người gì đâu mà nhỏ mọn thế? Chỗ ông có thiếu nước không mà sao nghe chừng khát nước quá vậy? :))),Bạc Lương Sơn
Bạc Lương Sơn Phòng An Ninh Mạng,Bạc Lương Sơn
Yêu thương chia sẻ của bọn 3/ thôi chứ ở Việt Nam chúng tôi k làm thế,
Hình như 2 thằng đó là ng gốc hoa thì phải,
"Ngô Minh Vũ có rất nhiều người Việt gốc Hoa sinh sống tại Mỹ và họ không nhận là gốc Việt khi được phỏng vấn. Cá nhân mình chưa bao giờ thích cái lũ Tàu chợ lớn này, ngay cả tại Mỹ. Vì sao? Vì tụi này luôn tự coi là người Tàu",Ngô Minh Vũ
李杰 gdinh ae no la người hoa nha.k thay con vợ đag ha vo quang tri ck Quang đông,李杰
李杰,李杰
李杰 Giang Trạch dân là cdb gì hả mày,李杰
李杰 mày nói càng ngày càng ngu họ lý có từ rất lâu rồi và là dòng họ lớn đâu như họ Giang à Tây nội địa thì biết gì về đất nước tao mà nói như đúng rồi,李杰
Ngô Minh Vũ 3 tàu 3 que hợp thế còn j nữa,Ngô Minh Vũ
"Đi vào phòng đó ngủ, thấy lá cờ đó ko lẽ ý thức dân tộc ko có để mà cất vào tủ mà sinh hoạt. Khi tìm được nơi ở khác thì để lại nguyên trạng cho chủ nhà. Đằng này lại thích để thế nữa cơ. Chuyến này có đi ko về rồi.",
Đặng Ngọc Bảy chắc bị mù,Đặng Ngọc Bảy
Đậu Đậu mù thì ko phải. Nhưng chắc chắn là chơi vơi bọn bà sọc,Đậu Đậu
Đặng Ngọc Bảy nếu là tui sẽ vứt nó xuống đất chứ ai để cức lên đầu,Đặng Ngọc Bảy
"Đặng Ngọc Bảy : con này là tây nội địa rồi, nó cố tình làm vậy để thông báo tín hiệu cho vịt tân thu nạp tần số. Loại này đuổi khỏi ngành giáo dục luôn.",Đặng Ngọc Bảy
Phạm Văn Chơn cô tình quay la co rõ ràng chứ đâu phải lướt qua đau,Phạm Văn Chơn
Đặng Ngọc Bảy Lý đó có ai để đầu giường bảo giờ vì sợ đổ vỡ. Chỉ có cố tình sắp xếp thôi.,Đặng Ngọc Bảy
Đặng Ngọc Bảy nó ghép hình lá cờ vô đó.,Đặng Ngọc Bảy
Sharp Ben là NÔNGNÔ ĐẦNĐỘN. Video của 2 đứa đưa lên thì ai ghép? Tại sao con vợ 0 nói là bị ghép?,Sharp Ben
Nhu Khue Ngo tại nó nói là phản biện với mấy đứa ngu để làm gì???,Nhu Khue Ngo
"Đặng Ngọc Bảy bọn này chỉ vào phòng ngủ thôi,chứ quá trình đi tham gia biểu diễn và giao lưu chắc chắn sẽ gặp gỡ toàn lũ 3/, sẽ có những sự việc còn lớn hơn về liên quan đến lũ vong nô mà dân mình ko biết hoặc chưa đc biết,chứ sự việc cái phòng ngủ bé … See more",Đặng Ngọc Bảy
"Đặng Ngọc Bảy ông gà lắm, phải như thế mới đánh tiếng cho mấy bầu bên cali mở xô để hốt tiền được, xong về vn tẩy trắng thành vô ý thành rút kinh nghiệm để kiếm tiền cả 2 bên đấy",Đặng Ngọc Bảy
ThanhLong Lương cũng cố tình quay lại để lấy lòng tụi Cali.,ThanhLong Lương
"Phan Cao Luong kiểu muốn đớp cả 2 bên ấy. Về vn lại 1 vòng vn rồi cờ đỏ sao vàng các kiểu, sang bên kia lại /// . T nghĩ nhà này chắc kèo 3/ r, chỉ là vẫn muốn kiếm cơm ở vn nên mới văn vở với tuổi trâu thôi",Phan Cao Luong
ThanhLong Lương bạn nhìn cách nó quay tập trung vô lá cờ nha chứ ko phải là lướt qua đau.đang muốn lấy lòng cali.bon này đích thị là phản quốc rồi còn gì,ThanhLong Lương
ThanhLong Lương giống vụ bang kiểu vô tình có cái cờ phía sau khi moi sang cali,ThanhLong Lương
"ThanhLong Lương Tội bán nước, phản Quốc thì Gia Long còn tấy mấy trăm năm chưa trắng kìa.",ThanhLong Lương
ThanhLong Lương co le the,ThanhLong Lương
"Đặng Ngọc Bảy Ở Hàn hay ở Trung thì 1 vé 1 chiều. Còn ở Vn thì ko chắc, chưa gì Tuổi trẻ vnch lên bài bào chữa nhanh như điện .",Đặng Ngọc Bảy
Don Bulltaurus ko quan trọng báo đâu bro. Quan trọng là ae cộng đồng mạng mình đây này. Báo có tẩy ntn đi nữa nếu cđm vẫn đốt thì có mà yên đc. Nói chung là bọn này sẽ khó mà kiếm tiền Ông Cụ nhà mình nữa rồi.,Don Bulltaurus
Đặng Ngọc Bảy vứ đi chứ rác mà cất tủ làm gì,Đặng Ngọc Bảy
"Đặng Ngọc Bảy gặp tui năm ngoái tui cũng chả biết cờ đó là gì,năm nay tui theo dõi trang dòng máu Việt nên mới biết lun",Đặng Ngọc Bảy
Nguyễn Thị Thanh Tuyền tui cũng k biết,Nguyễn Thị Thanh Tuyền
Hoàn Mít tụi mình ở trong nước ko qua Mỹ ko biết còn dc đằng này người ta đi qua nhiều mà ko biết là điêu,Hoàn Mít
Nguyễn Thị Thanh Tuyền ngu hết phần thiên hạ,Nguyễn Thị Thanh Tuyền
"Nguyễn Bảo Ngọc ngu gì tại người ta không quan tâm về các quốc kỳ thui, nhỏ h trừ cờ đỏ sao vàng mấy lá cờ khác tui chả thèm quan tâm",Nguyễn Bảo Ngọc
Đặng Ngọc Bảy thấy là vất con cụ nó vào wc hay sọt rác cất làm đéo gì,Đặng Ngọc Bảy
Đặng Ngọc Bảy sợ thế cơ à,Đặng Ngọc Bảy
Đặng Ngọc Bảy 10 điểm yêu nước :))),Đặng Ngọc Bảy
"Đặng Ngọc Bảy phải t là t dỗi, t đ ở luôn. Chứ ở đấy mà cất. K dây dưa với bọn p.động",Đặng Ngọc Bảy
Trang Thùy chuẩn bác,Trang Thùy
Đặng Ngọc Bảy ko đơn giản như thế đâu.,Đặng Ngọc Bảy
Đặng Ngọc Bảy kể mà thấy cờ đó mà đái một bãi vào thì ok.gio thì ngu người rồi bạn,Đặng Ngọc Bảy
Đặng Ngọc Bảy phải có 3 sọc treo đầu nằm thì cái thủ đô bolsa nó mới để yên cho kiếm ăn ở bển chứ.,Đặng Ngọc Bảy
Đặng Ngọc Bảy Chẳng có sự tình cờ nào ở đây cả!,Đặng Ngọc Bảy
Đặng Ngọc Bảy có thể lấy quần đùi tấp lên che lại mà :)),Đặng Ngọc Bảy
"Đặng Ngọc Bảy Sợ lá cờ đến thế à, bên thắng cuộc mà nhục thế gặp gì cũng sợ.",Đặng Ngọc Bảy
Quốc Nguyễn sợ gì lũ bán nước uống máu đồng bào như chúng m. Đã là rác thì nên ở ngoài bãi rác.,Quốc Nguyễn
Đặng Ngọc Bảy yêu nước thì cũng tùy trường hợp.. nếu đag bên mẽo thì đừng động đến cờ mĩ.. lấy cờ ba sọc đi chùi mông thôi.. chứ nhổ.linh tinh lại mệt..,Đặng Ngọc Bảy
"Đặng Ngọc Bảy Lập trường rõ ràng như ng khác thì đã cất đi cái miếng vải rách đó rồi,,như chúng ta đây thì đi chỗ khác luôn k ở hoặc là về nước luôn cũng dc,chứ dell có chuyện ở đó vui vẻ.",Đặng Ngọc Bảy
Đặng Ngọc Bảy thật chứ ai đời để c*t trên đầu giường mà để im được chứ,Đặng Ngọc Bảy
Nguyễn Hoàng Trung Một con bò đỏ lên tiếng,Nguyễn Hoàng Trung
"Lu Xe 1 con 3/// khát nước thờ cục c*t cho hay
cay tiếp đi con, đéo có nước đâu mà đòi phục với chả quốc",Lu Xe
Đặng Ngọc Bảy đấy là người bình thường nghĩ thế. Còn /// thì ko phải người bình thường,Đặng Ngọc Bảy
Đặng Ngọc Bảy nó đi diễn hàng ngày với lũ 3/// đấy . Nó cố tình chứ. Sao không thấy,Đặng Ngọc Bảy
"Đặng Ngọc Bảy nó mà dì được thì thêm quay về à , ngủ đi rồi mơ",Đặng Ngọc Bảy
Đặng Ngọc Bảy sờ sờ ra đó mà nó nói không để ý,Đặng Ngọc Bảy
Đặng Ngọc Bảy đừng nói đến cái phòng ngủ mà nói thêm cái đoàn mời kêu gọi đi diễn đó nhé..tổ chức đấy với cái cờ 3soc thì hiểu luôn chứ nói gì thêm,Đặng Ngọc Bảy
Đặng Ngọc Bảy Chuẩn. Bất cứ lý do gì cũng không thể bỏ qua chuyện này được. Đào thải bọn phản Quốc.,Đặng Ngọc Bảy
Đặng Ngọc Bảy chắc là yêu thương đến mức làm tình cũng phải ngắm cờ :)),Đặng Ngọc Bảy
Nguyen Anh Tuan 3 que nói nhiều quá.,Nguyen Anh Tuan
"Nguyen Anh Tuan có ai sợ đâu, nó như bãi cức ấy có sợ là sợ nó dính vào thì vừa bẩn vừa thối mà k có nước gì rửa đc",Nguyen Anh Tuan
"Nguyen Anh Tuan cái tư duy nó ko liên quan đến chuyện 3 que bạn ạ. Còn bạn chưa gì đã chụp mũ người khác là sợ 3 que rồi tự hạ thấp mình bằng việc thơm hay thối nó buồn cười lắm, trong cái luồng này người ta đang cố giải thích việc họ ghét 3 que và hàn… See more",Nguyen Anh Tuan
"Nguyen Anh Tuan Còn nếu em 15 tuổi thật thì em lo học hành đi rồi từ từ sẽ biết, chứ cái tuổi em nhỏ vậy lên đây xưng anh em với mọi người người ta lại bảo là mấy dạy đó. Lo học hành tử tế rèn dũa cái nết ăn nói cho nó văn minh đã em. Để người ta nói … See more",Nguyen Anh Tuan
Nguyen Anh Tuan Là trại nuôi chó của Mỹ đế đó mà,Nguyen Anh Tuan
"Tóm lại về mặt đất đi, ảo mộng quá,,, tự do dân chủ quá đôi khi lại : mình nể mình quá..",
"Nguyen Anh Tuan té là té thứ méo nào, dân tộc Việt Nam chưa bjo run sợ trước bất kỳ 1 kẻ thù nào nhé. Đừng có xuyên tạc lung tung và lươn lẹo",Nguyen Anh Tuan
"Nguyen Anh Tuan nó mang tư tưởng và phổ biến đồi bại, giống cờ phát xít cho b dễ hình dung, khỏi thắc mắc!",Nguyen Anh Tuan
Nguyen Anh Tuan thôi em xin :)),Nguyen Anh Tuan
"Nguyen Anh Tuan không ai sợ cả. Chắc mọi người cũng như e: nhìn thấy cứt thối khắm thì dè bỉu thôi. Tránh ra đỡ nhẵm hay ngửi phải, cảnh báo cho mọi người biết. Chứ ai sợ đâu. Bác nói vậy sai rồi",Nguyen Anh Tuan
Nguyen Anh Tuan ko phải là sợ. Mà là kìy thịy. Bạn ko chơi với cớt bao giờ lên bạn luôn phải tránh xa nó ra,Nguyen Anh Tuan
Nguyen Anh Tuan Run sợ chỗ nào???,Nguyen Anh Tuan
Nguyen Anh Tuan thế có công nhận lũ 3que là đám bán nước chưa?,Nguyen Anh Tuan
"Nguyen Anh Tuan M ko phải giả ngu bởi vì m ngu thật mà
. Chúng t không sợ bọn 3 que, chúng t chỉ khinh bỉ chúng nó thôi!!!",Nguyen Anh Tuan
"Nguyen Anh Tuan Không phải là sợ vì B52 Mỹ còn đéo sợ , sợ gì cái rẻ lau đó. Vấn đề là nó phản cảm... 1 cái giẻ mà nhiều người muốn quên đi ( cả bố Mỹ nhé). ok chưa bạn?",Nguyen Anh Tuan
Việt Nguyễn Bác nói hay Liên Hợp Quốc nói vậy?,Việt Nguyễn
Nguyen Anh Tuan sợ cái quần. Sợ mà đánh cho chạy tụt quần. Nhìn 3/ đi. Mỗi lần có sự kiện nào mà ai cầm cờ đỏ là tụi nó điên cuồng cắn phá. Biết vụ mấy e sinh viên bên Úc đợt trc rủ nhau đi coi VN đá bóng treo cờ đỏ bị bọn nó khủng bố như nào ko? Nếu n… See more,Nguyen Anh Tuan
"Payn Kansbe tất cả những thằng bán nước này bay giờ mà mọi người cùng xử lý bằng cách block là chúng nó sợ nhất, vì loe ngoe vài thằng lải nhải mà bị cả đất nước Việt Nam block thì chúng nó tự sủa cho nhau nghe àh. Thứ chúng nó muốn là được công nhận, … See more",Payn Kansbe
Nguyen Anh Tuan anh thấy đâu có ai sợ mất nước bởi bọn ba que đâu em ? có mình em tự biên tự diễn hả hay em làm diễn viên hề ? theo anh thấy thì em phản hồi cmt cũng khá nhiệt tình thì chắc em cũng không bị mù chữ nhỉ ?? thời buổi nào rồi cái gì không … See more,Nguyen Anh Tuan
"Nguyen Anh Tuan Thằng ba que dơ 1 nhưng cái thằng cố tình hỏi thì dơ 10. Có biết thì đi tìm để biết nó dơ thế nào. Phân tích rõ oai, nhưng lại giả ngoo đi hỏi người khác",Nguyen Anh Tuan
"... Vừa khen bạn khôn hơn 5 phút trước ... ( trung quốc đã từng xâm chiếm nước ta 1000 năm rồi. Mỹ thì...
... Chắc hết đời bạn nó chưa có đủ dũng khí quay lại đâu",
Nguyen Anh Tuan thế nên nhìn thấy cức phải tránh xa,Nguyen Anh Tuan
Nguyen Anh Tuan cái giọng sao sợ 3 que thì t biết mày là gì rùi. Người ta ghét người ta chửi thì m bảo là sợ. Nếu m không biết gì thì mày sẽ hỏi sao chửi 3 que quá vậy. 3 que mà thích giả nai.,Nguyen Anh Tuan
Nguyen Anh Tuan chậc chậc bọn bán nước bán đất cho Tàu xứng đáng bị chửi đến muôn đời đúng ko bạn. Đánh ko dám đánh mà đầu hàng giặc. Chúng ta nên chì chiết lũ bán nước đúng hông nè. =)),Nguyen Anh Tuan
Nguyen Anh Tuan m sợ nó thì kệ cmm chứ sao m lại nhai đi nhai lại cái câu “chúng ta sợ …” chó nhà t nhai dép cũng ko nhiều như m đâu :)) .,Nguyen Anh Tuan
Payn Kansbe nó nói chuyện kiểu khiêu khích chờ mình sơ hở để chụp ảnh màn hình cắt ghép mang đi bêu riếu thôi. Nói nhiều với bọn bán nước này làm gì,Payn Kansbe
Nguyen Anh Tuan ủa đ thấy phản biện nữa,Nguyen Anh Tuan
"Nguyen Anh Tuan thời đại 5.0 rồi ko đánh tráo khái niệm được đâu =))) t hỏi ngược lại b là ra đường gặp cứt thì tránh hay đớp, mà đám giẻ lau 3 sọc kia thì khác gì cứt đâu nên thằng nào đớp thì phải lên án thôi =)))",Nguyen Anh Tuan
"Nguyen Anh Tuan ko phải sợ, mà bạn thấy phân trong nhà bạn có dọn không?",Nguyen Anh Tuan
"Nguyen Anh Tuan trong lịch sử thì mấy đứa ba que xỏ lá thường bán nước cho những kẻ giết hàng triệu đồng bào VN, thả bom dioxen hết cả miền Trung VN, xây nhà tù Côn Đảo, Lạng Sơn, giúp hơn 300.000 phụ nữ ở miền Nam được tiếp cận với nghề làm đĩ nuôi số… See more",Nguyen Anh Tuan
Nguyen Anh Tuan 3/ trá hình cứ đánh tráo khái niệm với chả chụp mũ :))),Nguyen Anh Tuan
Nguyen Anh Tuan khoan đã anh bạn trả lời câu hỏi của tôi. 3que có bán nước hàng giặc ko?,Nguyen Anh Tuan
"Nguyen Anh Tuan này phải gọi là thấy cái xấu mà ko lên án nghĩa là chấp nhận cái xấu đó xuất hiện như điều bình thường ấy, giống như đứa nào ăn c*t thì kệ nó nhưng mà nó ngồi cạnh bạn để ăn và mời bạn ăn cùng thì bạn thấy bình thường và chấp nhận đc ko?",Nguyen Anh Tuan
"Nguyen Anh Tuan tại anh thấy em ăn nói mất dạy với người lớn thì sao anh phải văn minh với em ? mấy đứa nào dễ thương anh mới tử tế thôi em
anh có dạy và có nhận thức để biết đọc bài viết và biết nó nói về cái gì chứ không giống em. Với anh bảo em c… See more",Nguyen Anh Tuan
